year,AU,CH,DE,JP,KO,NE,UK,IT
2000,6.28,2.67,7.92,4.7,4.4,2.73,5.56,10.84
2001,6.74,2.49,7.77,5,4,2.12,4.7,9.6
2002,6.37,2.92,8.48,5.4,3.3,2.55,5.04,9.21
2003,5.93,4.12,9.78,5.3,3.6,3.59,4.81,8.87
2004,5.4,4.32,10.73,4.7,3.7,4.65,4.59,7.87
2005,5.03,4.44,11.17,4.4,3.7,5.87,4.75,7.73
2006,4.78,4,10.25,4.1,3.5,5,5.35,6.78
2007,4.38,3.65,8.66,3.9,3.2,4.15,5.26,6.08
2008,4.23,3.35,7.53,4,3.2,3.65,5.62,6.72
2009,5.56,4.12,7.74,5.1,3.6,4.35,7.54,7.75
2010,5.21,4.8,6.97,5.1,3.7,4.99,7.79,8.36
2011,5.08,4.4,5.82,4.52,3.4,4.98,8.04,8.36
2012,5.22,4.49,5.38,4.3,3.2,5.82,7.89,10.66
2013,5.66,4.75,5.23,4,3.1,7.24,7.52,12.15
2014,6.08,4.83,4.98,3.6,3.5,7.42,6.11,12.68
2015,6.05,4.8,4.62,3.4,3.55,6.87,5.3,11.9
2016,5.71,4.92,4.12,3.1,3.65,6.01,4.81,11.69
2017,5.59,4.8,3.75,2.8,3.65,4.84,4.33,11.21
2018,5.3,4.71,3.38,2.4,3.82,3.83,4,10.61
2019,5.16,4.39,3.14,2.4,3.75,3.38,3.74,9.95
2020,6.61,4.94,4.31,2.97,4.07,4.09,4.34,9.31